ids,Greenspace,jackdaniel
6617002,6117082,14318661
15255045,6229132,14363028
15261758,6312912,14374264
16126957,6327192,14451534
16350084,6369352,14475934
18083760,6396822,14490634
20552982,6414812,14497072
20680756,6464362,14534407
21566227,6557392,14542738
22918908,6568522,14588282
22942779,6621622,14625937
30852330,6646552,14715163
33923443,6663112,14772835
35439633,6664162,14967173
35710610,6766042,14967640
41317402,6914452,15030433
42422035,6979042,15073304
49730140,7076572,15097601
51258023,7077512,15119008
55276374,7090572,15147882
55830556,7156282,15167514
76365687,7267542,15173440
76727606,7286992,15189082
85558726,7344642,15247342
93493016,7371332,15309965
94120645,7503162,15365658
150349129,7511002,15444966
165511424,7593542,15456130
210177609,7696352,15457958
216507284,7734032,15461316
221463677,7829912,15476474
238728594,7921362,15513862
252223915,7944772,15525607
255270513,8037232,15801557
267369901,8292732,15874432
273012184,8302532,15922028
275969594,,15928797
341645176,,15943625
348007190,,16094646
371846898,,16098121
382112896,,16105907
393515432,,16289147
408314903,,16311120
422133339,,16332236
448063247,,16459140
541592017,,16466943
556279341,,16493166
624168449,,16562534
627166661,,16562907
631365002,,16744239
708991244,,16869327
719284679,,16886081
747871274,,16905302
799184731,,16905592
851399630,,16932829
865109588,,17103218
873153890,,17268320
932911951,,17268521
1025199330,,17304599
1055874421,,17330200
1125791370,,17343757
1194504278,,17351234
1339014276,,17366699
1469136140,,17389888
1497879241,,17417505
2339383898,,17497312
2340486745,,17594199
2420805857,,17603455
2437334624,,17630984
2446996146,,17632897
2482076077,,17648290
2487822416,,17652906
2512103376,,17661304
2618028202,,17754146
2688027745,,17764601
2714184896,,17807318
2758468913,,17808964
2878282235,,17822306
2934458758,,17874990
2994853251,,17892846
3076085740,,17990011
3110642279,,18019667
3372527237,,18023486
3426047032,,18026257
3956955929,,18033191
4446841401,,18114408
4706525837,,18140047
4843335898,,18204668
7.04423E+17,,18227058
7.28249E+17,,
7.54442E+17,,
7.99703E+17,,
8.36915E+17,,
8.45062E+17,,
